,PTS,REB,AST,STL,BLK,TOV,PF,OREB,DREB,OffRtg,DefRtg
1,112.8,45,25.4,7.5,6.3,15.1,19.3,9.4,35.6,116.7,108.2
2,116.5,47.5,25,6.5,5.9,14.2,17.8,10.5,37.1,119.2,115.3
3,122.3,43.5,25.4,7.5,5.5,13.8,19.9,9.3,34.2,113.2,106.7
4,114.3,43.9,25.7,8.8,5.6,15.7,21.9,11.3,32.6,117,112.4
5,119.7,41.8,25.6,8,5.8,13.4,20.2,8.3,33.5,113.7,109.3
6,114.5,43.9,30.1,7,5.1,12.8,18.9,11,32.9,110.6,111.4
7,120.1,45.1,25.4,8.7,6.2,13.6,20.9,12.3,32.8,117.9,109.5
8,111.5,46.1,23.3,7.9,3,13.2,17.4,13.5,32.7,114.2,112.8
9,112.2,44.1,26.1,7.7,5.9,14.6,17.4,8.8,35.4,115,110.8
10,118.2,42.4,25.1,5.9,4.5,11.7,18.3,10.4,32,119.8,112.7
10,128.4,39.5,30.2,7.8,6.3,12.7,22.4,9.3,30.2,116.6,113.8
10,116.5,43.7,27.4,7.4,4.2,13.7,20.7,10.8,32.9,110.7,111.3
13,115.5,44.1,26,7,7,15.3,19.2,10.9,33.2,117.4,117.3
14,110.8,44.3,25.5,7.9,5.3,14.6,18.8,10.5,33.9,123.6,120.2
14,113.1,40.7,26,8.1,3.2,13.1,18.6,9.4,31.4,114.8,113.5
16,114.6,44.1,26.1,8.4,4.4,13.8,20.2,11.1,33,114.4,115.1
17,116.7,48.2,26.1,6.1,5.5,13.5,18.7,12.2,36,117.5,115
18,123.2,44.2,25.4,9.3,4.5,14.3,18.3,13.1,31.2,118.6,118.4
18,112.9,44.4,24.9,9.1,4.6,13.5,20.8,10.9,33.5,113.7,113.6
20,110.1,43.9,26.2,6.2,4.4,12.7,22.4,9.4,34.5,113.6,110.5
21,114.8,46.5,28.1,7.2,3.6,15.2,21.8,12.6,34,111.3,112.6
21,111.2,46.1,28.1,8,4.6,14.4,18.5,12.9,33.2,112.6,110
23,112.1,47.3,26.6,6.5,5.7,17.7,20.1,14.5,32.8,109.7,115.5
24,113.8,44.1,25.6,6.9,4.8,13.9,20.3,12.1,32,110.5,116.7
24,107.7,41.2,22.9,8.5,4.6,12.3,19.8,11,30.3,113,121.4
26,105.2,40.6,21.9,9,4.8,16.4,20.4,11.9,28.7,105.4,112.1
27,105.9,42.5,23.8,7.7,6.6,14.5,21.7,10.7,31.8,106.3,112.4
28,111.5,42.3,29.2,7,6,16.6,20.4,10.1,32.2,107.3,119.4
28,116.8,39.1,27.8,8.1,4.8,13.7,20,8.4,30.6,112.5,120.3
30,109.2,45.5,26.4,6.1,5.6,17.2,23.6,12.4,33.2,108.2,116.9